19/07/2023 18:55:08 Vitor Cadastrou -> VC83623 
19/07/2023 18:55:29 mateus Cadastrou -> VC71094 
19/07/2023 18:56:18 mateus Cadastrou -> VC83613 
19/07/2023 18:59:05 mateus Cadastrou -> VC74095 
19/07/2023 19:00:13 mateus Cadastrou -> VC83587 
19/07/2023 19:16:05 mateus Cadastrou -> VC73892 
19/07/2023 19:16:34 mateus Cadastrou -> VC83167 
20/07/2023 12:47:40 Vitor Cadastrou -> VC73233 
20/07/2023 12:49:02 Vitor Cadastrou -> VC83221 
20/07/2023 13:00:20 mateus Cadastrou -> VC73125 
20/07/2023 13:01:42 mateus Cadastrou -> VC83107 
20/07/2023 13:04:04 mateus Cadastrou -> VC73972 
20/07/2023 13:04:43 mateus Cadastrou -> VC83457 
20/07/2023 13:05:43 mateus Cadastrou -> VC73923 
20/07/2023 13:05:57 Vitor Cadastrou -> VC73232 
20/07/2023 13:06:13 mateus Cadastrou -> VC83166 
20/07/2023 13:06:34 Vitor Cadastrou -> VC83108 
20/07/2023 13:07:02 mateus Cadastrou -> VC74019 
20/07/2023 13:07:45 mateus Cadastrou -> VC83077 
20/07/2023 13:09:48 mateus Cadastrou -> VC73751 
20/07/2023 13:10:22 mateus Cadastrou -> VC83079 
20/07/2023 13:12:03 mateus Cadastrou -> VC73670 
20/07/2023 13:12:38 mateus Cadastrou -> VC83590 
20/07/2023 13:13:30 Vitor Cadastrou -> VC73666 
20/07/2023 13:14:07 Vitor Cadastrou -> VC83588 
20/07/2023 13:15:28 mateus Cadastrou -> VC73830 
20/07/2023 13:15:59 mateus Cadastrou -> VC83242 
20/07/2023 13:17:44 mateus Cadastrou -> VC73659 
20/07/2023 13:18:21 mateus Cadastrou -> VC83618 
20/07/2023 13:23:56 Vitor Cadastrou -> VC73772 
20/07/2023 13:24:28 Vitor Cadastrou -> VC83224 
20/07/2023 13:39:57 Vitor Cadastrou -> VC73782 
20/07/2023 13:40:40 Vitor Cadastrou -> VC83234 
20/07/2023 13:48:19 Vitor Cadastrou -> VC73124 
20/07/2023 13:49:03 Vitor Cadastrou -> VC83227 
20/07/2023 13:51:16 mateus Cadastrou -> VC73098 
20/07/2023 13:52:23 mateus Cadastrou -> VC83208 
20/07/2023 13:53:14 Vitor Cadastrou -> VC73145 
20/07/2023 13:53:47 Vitor Cadastrou -> VC83179 
20/07/2023 13:54:11 mateus Cadastrou -> VC73734 
20/07/2023 13:54:41 mateus Cadastrou -> VC83117 
20/07/2023 13:57:46 Vitor Cadastrou -> VC73981 
20/07/2023 13:58:16 Vitor Cadastrou -> VC83482 
20/07/2023 14:04:21 Vitor Cadastrou -> VC73668 
20/07/2023 14:04:52 Vitor Cadastrou -> VC83598 
20/07/2023 14:05:14 mateus Cadastrou -> VC73230 
20/07/2023 14:06:05 mateus Cadastrou -> VC83211 
20/07/2023 14:09:41 Vitor Cadastrou -> VC73814 
20/07/2023 14:10:40 mateus Cadastrou -> VC74130 
20/07/2023 14:10:45 Vitor Cadastrou -> VC83154 
20/07/2023 14:11:09 mateus Cadastrou -> VC83620 
20/07/2023 14:17:09 Vitor Cadastrou -> VC73142 
20/07/2023 14:17:20 mateus Cadastrou -> VC73121 
20/07/2023 14:21:55 mateus Cadastrou -> VC83184 
20/07/2023 14:25:07 Vitor Cadastrou -> VC73104 
20/07/2023 14:25:42 Vitor Cadastrou -> VC83145 
20/07/2023 14:31:10 mateus Cadastrou -> VC73120 
20/07/2023 14:31:41 mateus Cadastrou -> VC83238 
20/07/2023 14:34:50 mateus Cadastrou -> VC74049 
20/07/2023 14:34:57 Vitor Cadastrou -> VC73414 
20/07/2023 14:35:21 mateus Cadastrou -> VC83583 
20/07/2023 14:35:29 Vitor Cadastrou -> VC83470 
20/07/2023 14:54:53 mateus Cadastrou -> VC73223 
20/07/2023 14:55:05 Vitor Cadastrou -> VC83074 
20/07/2023 14:55:19 mateus Cadastrou -> VC83197 
20/07/2023 15:16:52 mateus Cadastrou -> 73122 
20/07/2023 15:18:12 mateus Cadastrou -> VC83213 
20/07/2023 15:20:11 mateus Cadastrou -> VC73144 
20/07/2023 15:20:43 mateus Cadastrou -> VC83612 
20/07/2023 15:23:08 mateus Cadastrou -> VC73092 
20/07/2023 15:28:42 mateus Cadastrou -> VC83147 
20/07/2023 15:33:24 mateus Cadastrou -> VC73920 
20/07/2023 15:34:17 mateus Cadastrou -> VC83235 
20/07/2023 15:44:20 mateus Cadastrou -> VC73660 
20/07/2023 15:44:50 mateus Cadastrou -> VC83585 
20/07/2023 15:50:31 mateus Cadastrou -> VC73967 
20/07/2023 15:51:36 mateus Cadastrou -> VC83602 
20/07/2023 15:56:36 mateus Cadastrou -> VC74259 
20/07/2023 16:07:11 mateus Cadastrou -> VC73988 
20/07/2023 16:07:55 mateus Cadastrou -> VC83469 
20/07/2023 16:18:58 mateus Cadastrou -> VC73726 
20/07/2023 16:19:47 mateus Cadastrou -> VC83196 
20/07/2023 16:40:48 mateus Cadastrou -> VC73675 
